ID,Line
166,"Without thy aid, no glory shall be mine,"
167,"Without thy dear advice, no great design;"
168,"Alike, through life, esteem'd, thou godlike boy,"
169,"In war my bulwark, and in peace my joy."""
170,"  To him Euryalus:--""No day shall shame"
171,The rising glories which from this I claim.
172,"Fortune may favour, or the skies may frown,"
173,"But valour, spite of fate, obtains renown."
174,"Yet, ere from hence our eager steps depart,"
175,"One boon I beg, the nearest to my heart:"
176,"My mother, sprung from Priam's royal line,"
177,"Like thine ennobled, hardly less divine,"
178,Nor Troy nor king Acestes' realms restrain
179,Her feeble age from dangers of the main;
180,"Alone she came, all selfish fears above,"
181,A bright example of maternal love.
182,"Unknown, the secret enterprise I brave,"
183,Lest grief should bend my parent to the grave;
184,"From this alone no fond adieus I seek,"
185,No fainting mother's lips have press'd my cheek;
186,"By gloomy Night and thy right hand I vow,"
187,Her parting tears would shake my purpose now:
188,"Do thou, my prince, her failing age sustain,"
189,In thee her much-lov'd child may live again;
190,"Her dying hours with pious conduct bless,"
191,"Assist her wants, relieve her fond distress:"
192,"So dear a hope must all my soul enflame,"
193,"To rise in glory, or to fall in fame."""
194,"Struck with a filial care so deeply felt,"
195,In tears at once the Trojan warriors melt;
196,"Faster than all, Iulus' eyes o'erflow!"
197,"Such love was his, and such had been his woe."
198,"""All thou hast ask'd, receive,"" the Prince replied;"
199,"""Nor this alone, but many a gift beside."
200,"To cheer thy mother's years shall be my aim,"
201,Creusa's style but wanting to the dame;
202,"Fortune an adverse wayward course may run,"
203,But bless'd thy mother in so dear a son.
204,"Now, by my life!--my Sire's most sacred oath--"
205,"To thee I pledge my full, my firmest troth,"
206,"All the rewards which once to thee were vow'd,"
207,"If thou should'st fall, on her shall be bestow'd."""
208,"Thus spoke the weeping Prince, then forth to view"
209,A gleaming falchion from the sheath he drew;
210,"Lycaon's utmost skill had grac'd the steel,"
211,For friends to envy and for foes to feel:
212,"A tawny hide, the Moorish lion's spoil,"
213,"Slain 'midst the forest in the hunter's toil,"
214,"Mnestheus to guard the elder youth bestows,"
215,And old Alethes' casque defends his brows;
216,"Arm'd, thence they go, while all th' assembl'd train,"
217,"To aid their cause, implore the gods in vain."
218,"More than a boy, in wisdom and in grace,"
219,Iulus holds amidst the chiefs his place:
220,"His prayer he sends; but what can prayers avail,"
221,Lost in the murmurs of the sighing gale?
222,"  The trench is pass'd, and favour'd by the night,"
223,"Through sleeping foes, they wheel their wary flight."
224,When shall the sleep of many a foe be o'er?
225,"Alas! some slumber, who shall wake no more!"
226,"Chariots and bridles, mix'd with arms, are seen,"
227,"And flowing flasks, and scatter'd troops between:"
228,"Bacchus and Mars, to rule the camp, combine;"
229,A mingled Chaos this of war and wine.
230,"""Now,"" cries the first, ""for deeds of blood prepare,"
231,With me the conquest and the labour share:
232,"Here lies our path; lest any hand arise,"
233,"Watch thou, while many a dreaming chieftain dies;"
234,"I'll carve our passage, through the heedless foe,"
235,"And clear thy road, with many a deadly blow."""
236,"His whispering accents then the youth repress'd,"
237,And pierced proud Rhamnes through his panting breast:
238,"Stretch'd at his ease, th' incautious king repos'd;"
239,"Debauch, and not fatigue, his eyes had clos'd;"
240,"To Turnus dear, a prophet and a prince,"
241,His omens more than augur's skill evince;
242,"But he, who thus foretold the fate of all,"
243,Could not avert his own untimely fall.
244,"Next Remus' armour-bearer, hapless, fell,"
245,And three unhappy slaves the carnage swell;
246,The charioteer along his courser's sides
247,"Expires, the steel his sever'd neck divides;"
248,"And, last, his Lord is number'd with the dead:"
249,"Bounding convulsive, flies the gasping head;"
250,From the swol'n veins the blackening torrents pour;
251,Stain'd is the couch and earth with clotting gore.
252,"Young Lamyrus and Lamus next expire,"
253,"And gay Serranus, fill'd with youthful fire;"
254,Half the long night in childish games was pass'd;
255,"Lull'd by the potent grape, he slept at last:"
256,"Ah! happier far, had he the morn survey'd,"
257,"And, till Aurora's dawn, his skill display'd."
258,"In slaughter'd folds, the keepers lost in sleep,"
259,His hungry fangs a lion thus may steep;
260,"'Mid the sad flock, at dead of night he prowls,"
261,"With murder glutted, and in carnage rolls"
262,"Insatiate still, through teeming herds he roams;"
263,"In seas of gore, the lordly tyrant foams."
264,"  Nor less the other's deadly vengeance came,"
265,But falls on feeble crowds without a name;
266,"His wound unconscious Fadus scarce can feel,"
267,Yet wakeful Rhæsus sees the threatening steel;
268,"His coward breast behind a jar he hides,"
269,"And, vainly, in the weak defence confides;"
270,"Full in his heart, the falchion search'd his veins,"
271,The reeking weapon bears alternate stains;
272,"Through wine and blood, commingling as they flow,"
273,One feeble spirit seeks the shades below.
274,"Now where Messapus dwelt they bend their way,"
275,Whose fires emit a faint and trembling ray;
276,"There, unconfin'd, behold each grazing steed,"
277,"Unwatch'd, unheeded, on the herbage feed:"
278,"Brave Nisus here arrests his comrade's arm,"
279,"Too flush'd with carnage, and with conquest warm:"
280,"""Hence let us haste, the dangerous path is pass'd;"
281,"Full foes enough, to-night, have breath'd their last:"
282,Soon will the Day those Eastern clouds adorn;
283,"Now let us speed, nor tempt the rising morn."""
284,"  What silver arms, with various art emboss'd,"
285,"What bowls and mantles, in confusion toss'd,"
286,They leave regardless! yet one glittering prize
287,Attracts the younger Hero's wandering eyes;
288,"The gilded harness Rhamnes' coursers felt,"
289,The gems which stud the monarch's golden belt:
290,"This from the pallid corse was quickly torn,"
291,Once by a line of former chieftains worn.
292,"Th' exulting boy the studded girdle wears,"
293,"Messapus' helm his head, in triumph, bears;"
294,"Then from the tents their cautious steps they bend,"
295,"To seek the vale, where safer paths extend."
296,"  Just at this hour, a band of Latian horse"
297,To Turnus' camp pursue their destin'd course:
298,"While the slow foot their tardy march delay,"
299,"The knights, impatient, spur along the way:"
300,"Three hundred mail-clad men, by Volscens led,"
301,To Turnus with their master's promise sped:
302,"Now they approach the trench, and view the walls,"
303,"When, on the left, a light reflection falls;"
304,"The plunder'd helmet, through the waning night,"
305,"Sheds forth a silver radiance, glancing bright;"
306,"Volscens, with question loud, the pair alarms:--"
307,"""Stand, Stragglers! stand! why early thus in arms?"
308,"From whence? to whom?""--He meets with no reply;"
309,"Trusting the covert of the night, they fly:"
310,"The thicket's depth, with hurried pace, they tread,"
311,While round the wood the hostile squadron spread.
312,"  With brakes entangled, scarce a path between,"
313,Dreary and dark appears the sylvan scene:
314,"Euryalus his heavy spoils impede,"
315,The boughs and winding turns his steps mislead;
316,"But Nisus scours along the forest's maze,"
317,"To where Latinus' steeds in safety graze,"
318,"Then backward o'er the plain his eyes extend,"
319,On every side they seek his absent friend.
320,"""O God! my boy,"" he cries, ""of me bereft,"
321,"In what impending perils art thou left!"""
322,"Listening he runs--above the waving trees,"
323,Tumultuous voices swell the passing breeze;
324,"The war-cry rises, thundering hoofs around"
325,Wake the dark echoes of the trembling ground.
326,Again he turns--of footsteps hears the noise--
327,The sound elates--the sight his hope destroys:
328,"The hapless boy a ruffian train surround,"
329,While lengthening shades his weary way confound;
330,"Him, with loud shouts, the furious knights pursue,"
331,"Struggling in vain, a captive to the crew."
332,What can his friend 'gainst thronging numbers dare?
333,"Ah! must he rush, his comrade's fate to share?"
334,"What force, what aid, what stratagem essay,"
335,Back to redeem the Latian spoiler's prey?
336,"His life a votive ransom nobly give,"
337,"Or die with him, for whom he wish'd to live?"
338,"Poising with strength his lifted lance on high,"
339,On Luna's orb he cast his frenzied eye:--
340,"""Goddess serene, transcending every star!"
341,"Queen of the sky, whose beams are seen afar!"
342,"By night Heaven owns thy sway, by day the grove,"
343,"When, as chaste Dian, here thou deign'st to rove;"
344,"If e'er myself, or Sire, have sought to grace"
345,"Thine altars, with the produce of the chase,"
346,"Speed, speed my dart to pierce yon vaunting crowd,"
347,"To free my friend, and scatter far the proud."""
348,"Thus having said, the hissing dart he flung;"
349,Through parted shades the hurtling weapon sung;
350,"The thirsty point in Sulmo's entrails lay,"
351,"Transfix'd his heart, and stretch'd him on the clay:"
352,"He sobs, he dies,--the troop in wild amaze,"
353,"Unconscious whence the death, with horror gaze;"
354,"While pale they stare, thro' Tagus' temples riven,"
355,"A second shaft, with equal force is driven:"
356,Fierce Volscens rolls around his lowering eyes;
357,"Veil'd by the night, secure the Trojan lies."
358,"Burning with wrath, he view'd his soldiers fall."
359,"""Thou youth accurst, thy life shall pay for all!"""
360,"Quick from the sheath his flaming glaive he drew,"
361,"And, raging, on the boy defenceless flew."
362,"Nisus, no more the blackening shade conceals,"
363,"Forth, forth he starts, and all his love reveals;"
364,"Aghast, confus'd, his fears to madness rise,"
365,"And pour these accents, shrieking as he flies;"
366,"""Me, me,--your vengeance hurl on me alone;"
367,"Here sheathe the steel, my blood is all your own;"
368,Ye starry Spheres! thou conscious Heaven! attest!
369,He could not--durst not--lo! the guile confest!
370,"All, all was mine,--his early fate suspend;"
371,"He only lov'd, too well, his hapless friend:"
372,"Spare, spare, ye Chiefs! from him your rage remove;"
373,"His fault was friendship, all his crime was love."""
374,He pray'd in vain; the dark assassin's sword
375,"Pierced the fair side, the snowy bosom gor'd;"
376,"Lowly to earth inclines his plume-clad crest,"
377,And sanguine torrents mantle o'er his breast:
378,"As some young rose whose blossom scents the air,"
379,"Languid in death, expires beneath the share;"
380,"Or crimson poppy, sinking with the shower,"
381,"Declining gently, falls a fading flower;"
382,"Thus, sweetly drooping, bends his lovely head,"
383,And lingering Beauty hovers round the dead.
384,"But fiery Nisus stems the battle's tide,"
385,"Revenge his leader, and Despair his guide;"
386,"Volscens he seeks amidst the gathering host,"
387,Volscens must soon appease his comrade's ghost;
388,"Steel, flashing, pours on steel, foe crowds on foe;"
389,"Rage nerves his arm, Fate gleams in every blow;"
390,"In vain beneath unnumber'd wounds he bleeds,"
391,"Nor wounds, nor death, distracted Nisus heeds;"
392,"In viewless circles wheel'd his falchion flies,"
393,Nor quits the hero's grasp till Volscens dies;
394,"Deep in his throat its end the weapon found,"
395,The tyrant's soul fled groaning through the wound.
396,Thus Nisus all his fond affection prov'd--
397,"Dying, revenged the fate of him he lov'd;"
398,"Then on his bosom sought his wonted place,"
399,"And death was heavenly, in his friend's embrace!"
400,"Celestial pair! if aught my verse can claim,"
401,"Wafted on Time's broad pinion, yours is fame!"
402,"Ages on ages shall your fate admire,"
403,"No future day shall see your names expire,"
404,"While stands the Capitol, immortal dome!"
405,"And vanquished millions hail their Empress, Rome!"
406,"From Ida torn he left his native grove,"
407,"Through distant climes, and trackless seas to rove.'"
408, --they hold the nightly guard'.
409,Dear are the days of youth! Age dwells on their remembrance through the
410,mist of time. In the twilight he recalls the sunny hours of morn. He
411,"lifts his spear with trembling hand. ""Not thus feebly did I raise the"
412,"steel before my fathers!"" Past is the race of heroes! But their fame"
413,rises on the harp; their souls ride on the wings of the wind; they hear
414,"the sound through the sighs of the storm, and rejoice in their hall of"
415,clouds. Such is Calmar. The grey stone marks his narrow house. He looks
416,"down from eddying tempests: he rolls his form in the whirlwind, and"
417,hovers on the blast of the mountain.
418,In Morven dwelt the Chief; a beam of war to Fingal. His steps in the
419,field were marked in blood. Lochlin's sons had fled before his angry
420,spear; but mild was the eye of Calmar; soft was the flow of his
421,yellow locks: they streamed like the meteor of the night. No maid was
422,"the sigh of his soul: his thoughts were given to friendship,--to"
423,"dark-haired Orla, destroyer of heroes! Equal were their swords in"
424,battle; but fierce was the pride of Orla:--gentle alone to Calmar.
425,Together they dwelt in the cave of Oithona.
426,"From Lochlin, Swaran bounded o'er the blue waves. Erin's sons fell"
427,beneath his might. Fingal roused his chiefs to combat. Their ships
428,cover the ocean! Their hosts throng on the green hills. They come to the
429,aid of Erin.
430,Night rose in clouds. Darkness veils the armies. But the blazing oaks
431,gleam through the valley. The sons of Lochlin slept: their dreams
432,"were of blood. They lift the spear in thought, and Fingal flies. Not so"
433,the Host of Morven. To watch was the post of Orla. Calmar stood by his
434,side. Their spears were in their hands. Fingal called his chiefs: they
435,"stood around. The king was in the midst. Grey were his locks, but strong"
436,"was the arm of the king. Age withered not his powers. ""Sons of Morven,"""
437,"said the hero, ""to-morrow we meet the foe. But where is Cuthullin, the"
438,shield of Erin? He rests in the halls of Tura; he knows not of our
439,"coming. Who will speed through Lochlin, to the hero, and call the chief"
440,to arms? The path is by the swords of foes; but many are my heroes. They
441,"are thunderbolts of war. Speak, ye chiefs! Who will arise?"""
442,"""Son of Trenmor! mine be the deed,"" said dark-haired Orla, ""and mine"
443,"alone. What is death to me? I love the sleep of the mighty, but little"
444,is the danger. The sons of Lochlin dream. I will seek car-borne
445,"Cuthullin. If I fall, raise the song of bards; and lay me by the stream"
446,"of Lubar.""--""And shalt thou fall alone?"" said fair-haired Calmar. ""Wilt"
447,thou leave thy friend afar? Chief of Oithona! not feeble is my arm in
448,"fight. Could I see thee die, and not lift the spear? No, Orla! ours has"
449,"been the chase of the roebuck, and the feast of shells; ours be the path"
450,of danger: ours has been the cave of Oithona; ours be the narrow
451,"dwelling on the banks of Lubar.""--""Calmar,"" said the chief of Oithona,"
452,"""why should thy yellow locks be darkened in the dust of Erin? Let me"
453,fall alone. My father dwells in his hall of air: he will rejoice in his
454,boy; but the blue-eyed Mora spreads the feast for her Son in Morven. She
455,"listens to the steps of the hunter on the heath, and thinks it is the"
456,"tread of Calmar. Let her not say, 'Calmar has fallen by the steel of"
457,"Lochlin: he died with gloomy Orla, the chief of the dark brow.' Why"
458,"should tears dim the azure eye of Mora? Why should her voice curse Orla,"
459,the destroyer of Calmar? Live Calmar! Live to raise my stone of moss;
460,live to revenge me in the blood of Lochlin. Join the song of bards above
461,"my grave. Sweet will be the song of Death to Orla, from the voice of"
462,"Calmar. My ghost shall smile on the notes of Praise."" ""Orla,"" said the"
463,"son of Mora, ""could I raise the song of Death to my friend? Could I give"
464,"his fame to the winds? No, my heart would speak in sighs: faint and"
465,broken are the sounds of sorrow. Orla! our souls shall hear the song
466,together. One cloud shall be ours on high: the bards will mingle the
467,"names of Orla and Calmar."""
468,They quit the circle of the Chiefs. Their steps are to the Host of
469,Lochlin. The dying blaze of oak dim-twinkles through the night. The
470,"northern star points the path to Tura. Swaran, the King, rests on his"
471,lonely hill. Here the troops are mixed: they frown in sleep; their
472,"shields beneath their heads. Their swords gleam, at distance in heaps."
473,The fires are faint; their embers fail in smoke. All is hushed; but the
474,gale sighs on the rocks above. Lightly wheel the Heroes through the
475,"slumbering band. Half the journey is past, when Mathon, resting on his"
476,"shield, meets the eye of Orla. It rolls in flame, and glistens through"
477,"the shade. His spear is raised on high. ""Why dost thou bend thy brow,"
478,"chief of Oithona?"" said fair-haired Calmar: ""we are in the midst of"
479,"foes. Is this a time for delay?"" ""It is a time for vengeance,"" said Orla"
480,"of the gloomy brow. ""Mathon of Lochlin sleeps: seest thou his spear? Its"
481,point is dim with the gore of my father. The blood of Mathon shall reek
482,"on mine: but shall I slay him sleeping, Son of Mora? No! he shall feel"
483,"his wound: my fame shall not soar on the blood of slumber. Rise, Mathon,"
484,"rise! The Son of Conna calls; thy life is his; rise to combat."" Mathon"
485,starts from sleep: but did he rise alone? No: the gathering Chiefs bound
486,"on the plain. ""Fly! Calmar, fly!"" said dark-haired Orla. ""Mathon is"
487,mine. I shall die in joy: but Lochlin crowds around. Fly through the
488,"shade of night."" Orla turns. The helm of Mathon is cleft; his shield"
489,falls from his arm: he shudders in his blood. He rolls by the side
490,of the blazing oak. Strumon sees him fall: his wrath rises: his weapon
491,glitters on the head of Orla: but a spear pierced his eye. His brain
492,"gushes through the wound, and foams on the spear of Calmar. As roll the"
493,"waves of the Ocean on two mighty barks of the North, so pour the men of"
494,"Lochlin on the Chiefs. As, breaking the surge in foam, proudly steer the"
495,"barks of the North, so rise the Chiefs of Morven on the scattered crests"
496,of Lochlin. The din of arms came to the ear of Fingal. He strikes his
497,shield; his sons throng around; the people pour along the heath. Ryno
498,bounds in joy. Ossian stalks in his arms. Oscar shakes the spear. The
499,eagle wing of Fillan floats on the wind. Dreadful is the clang of death!
500,many are the Widows of Lochlin. Morven prevails in its strength.
501,Morn glimmers on the hills: no living foe is seen; but the sleepers are
502,many; grim they lie on Erin. The breeze of Ocean lifts their locks; yet
503,they do not awake. The hawks scream above their prey.
504,Whose yellow locks wave o'er the breast of a chief? Bright as the gold
505,"of the stranger, they mingle with the dark hair of his friend. 'Tis"
506,Calmar: he lies on the bosom of Orla. Theirs is one stream of blood.
507,Fierce is the look of the gloomy Orla. He breathes not; but his eye is
508,still a flame. It glares in death unclosed. His hand is grasped in
509,"Calmar's; but Calmar lives! he lives, though low. ""Rise,"" said the king,"
510,"""rise, son of Mora: 'tis mine to heal the wounds of Heroes. Calmar may"
511,"yet bound on the hills of Morven."""
512,"""Never more shall Calmar chase the deer of Morven with Orla,"" said the"
513,"Hero. ""What were the chase to me alone? Who would share the spoils of"
514,"battle with Calmar? Orla is at rest! Rough was thy soul, Orla! yet soft"
515,to me as the dew of morn. It glared on others in lightning: to me a
516,silver beam of night. Bear my sword to blue-eyed Mora; let it hang in my
517,empty hall. It is not pure from blood: but it could not save Orla. Lay
518,"me with my friend: raise the song when I am dark!"""
519,They are laid by the stream of Lubar. Four grey stones mark the dwelling
520,"of Orla and Calmar. When Swaran was bound, our sails rose on the blue"
521,waves. The winds gave our barks to Morven:--the bards raised the song.
522,"""What Form rises on the roar of clouds? Whose dark Ghost gleams on the"
523,"red streams of tempests? His voice rolls on the thunder. 'Tis Orla, the"
524,"brown Chief of Oithona. He was unmatched in war. Peace to thy soul,"
525,"Orla! thy fame will not perish. Nor thine, Calmar! Lovely wast thou, son"
526,of blue-eyed Mora; but not harmless was thy sword. It hangs in thy cave.
527,"The Ghosts of Lochlin shriek around its steel. Hear thy praise, Calmar!"
528,It dwells on the voice of the mighty. Thy name shakes on the echoes of
529,"Morven. Then raise thy fair locks, son of Mora. Spread them on the arch"
530,"of the rainbow, and smile through the tears of the storm."
531,  Tu semper amoris
532,"  Sis memor, et cari comitis ne abscedat imago."
533,"  VAL. FLAC. 'Argonaut', iv. 36."
534,"Friend of my youth! when young we rov'd,"
535,"Like striplings, mutually belov'd,"
536,  With Friendship's purest glow;
537,"The bliss, which wing'd those rosy hours,"
538,Was such as Pleasure seldom showers
539,  On mortals here below.
540,"The recollection seems, alone,"
541,"Dearer than all the joys I've known,"
542,  When distant far from you:
543,"Though pain, 'tis still a pleasing pain,"
544,"To trace those days and hours again,"
545,"  And sigh again, adieu!"
546,"My pensive mem'ry lingers o'er,"
547,"Those scenes to be enjoy'd no more,"
548,  Those scenes regretted ever;
549,"The measure of our youth is full,"
550,"Life's evening dream is dark and dull,"
551,  And we may meet--ah! never!
552,As when one parent spring supplies
553,"Two streams, which from one fountain rise,"
554,  Together join'd in vain;
555,"How soon, diverging from their source,"
556,"Each, murmuring, seeks another course,"
557,  Till mingled in the Main!
558,"Our vital streams of weal or woe,"
559,"Though near, alas! distinctly flow,"
560,  Nor mingle as before:
561,"Now swift or slow, now black or clear,"
562,"Till Death's unfathom'd gulph appear,"
563,  And both shall quit the shore.
564,"Our souls, my Friend! which once supplied"
565,"One wish, nor breathed a thought beside,"
566,  Now flow in different channels:
567,"Disdaining humbler rural sports,"
568,"'Tis yours to mix in polish'd courts,"
569,  And shine in Fashion's annals;
570,"'Tis mine to waste on love my time,"
571,"Or vent my reveries in rhyme,"
572,  Without the aid of Reason;
573,For Sense and Reason (critics know it)
574,"Have quitted every amorous Poet,"
575,  Nor left a thought to seize on.
576,"Poor LITTLE! sweet, melodious bard!"
577,Of late esteem'd it monstrous hard
578,"  That he, who sang before all;"
579,"He who the lore of love expanded,"
580,"By dire Reviewers should be branded,"
581,  As void of wit and moral.
582,"And yet, while Beauty's praise is thine,"
583,Harmonious favourite of the Nine!
584,  Repine not at thy lot.
585,"Thy soothing lays may still be read,"
586,"When Persecution's arm is dead,"
587,  And critics are forgot.
588,Still I must yield those worthies merit
589,"Who chasten, with unsparing spirit,"
590,"  Bad rhymes, and those who write them:"
591,And though myself may be the next
592,"By critic sarcasm to be vext,"
593,  I really will not fight them.
594,Perhaps they would do quite as well
595,To break the rudely sounding shell
596,  Of such a young beginner:
597,"He who offends at pert nineteen,"
598,"Ere thirty may become, I ween,"
599,  A very harden'd sinner.
600,"Now, Clare, I must return to you;"
601,"And, sure, apologies are due:"
602,"  Accept, then, my concession."
603,"In truth, dear Clare, in Fancy's flight"
604,I soar along from left to right;
605,  My Muse admires digression.
606,I think I said 'twould be your fate
607,To add one star to royal state;--
608,  May regal smiles attend you!
609,"And should a noble Monarch reign,"
610,"You will not seek his smiles in vain,"
611,  If worth can recommend you.
612,"Yet since in danger courts abound,"
613,"Where specious rivals glitter round,"
614,  From snares may Saints preserve you;
615,And grant your love or friendship ne'er
616,"From any claim a kindred care,"
617,  But those who best deserve you!
618,Not for a moment may you stray
619,"From Truth's secure, unerring way!"
620,  May no delights decoy!
621,"O'er roses may your footsteps move,"
