,Line
35,"    There was so much to read, for one thing, and so much fine health to  be pulled down out of the young breath-giving air"
36," I bought a dozen  volumes on banking and credit and investment securities, and they  stood on my shelf in red and gold like new money from the mint,  promising to unfold the shining secrets that only Midas and Morgan and  Maecenas knew"
37, And I had the high intention of reading many other  books besides
38," I was rather literary in college—one year I wrote a  series of very solemn and obvious editorials for the Yale News—and now  I was going to bring back all such things into my life and become  again that most limited of all specialists, the “well-rounded man"
39,"”  This isn’t just an epigram—life is much more successfully looked at  from a single window, after all"
40,    It was a matter of chance that I should have rented a house in one of  the strangest communities in North America
41," It was on that slender  riotous island which extends itself due east of New York—and where  there are, among other natural curiosities, two unusual formations of  land"
42," Twenty miles from the city a pair of enormous eggs, identical in  contour and separated only by a courtesy bay, jut out into the most  domesticated body of salt water in the Western hemisphere, the great  wet barnyard of Long Island Sound"
43," They are not perfect ovals—like the  egg in the Columbus story, they are both crushed flat at the contact  end—but their physical resemblance must be a source of perpetual  wonder to the gulls that fly overhead"
44, To the wingless a more  interesting phenomenon is their dissimilarity in every particular  except shape and size
45,"    I lived at West Egg, the—well, the less fashionable of the two, though  this is a most superficial tag to express the bizarre and not a little  sinister contrast between them"
46," My house was at the very tip of the  egg, only fifty yards from the Sound, and squeezed between two huge  places that rented for twelve or fifteen thousand a season"
47," The one on  my right was a colossal affair by any standard—it was a factual  imitation of some Hôtel de Ville in Normandy, with a tower on one  side, spanking new under a thin beard of raw ivy, and a marble  swimming pool, and more than forty acres of lawn and garden"
48, It was  Gatsby’s mansion
49," Or, rather, as I didn’t know Mr"
50," Gatsby, it was a  mansion inhabited by a gentleman of that name"
51," My own house was an  eyesore, but it was a small eyesore, and it had been overlooked, so I  had a view of the water, a partial view of my neighbour’s lawn, and  the consoling proximity of millionaires—all for eighty dollars a  month"
52,"    Across the courtesy bay the white palaces of fashionable East Egg  glittered along the water, and the history of the summer really begins  on the evening I drove over there to have dinner with the Tom  Buchanans"
53," Daisy was my second cousin once removed, and I’d known Tom  in college"
54, And just after the war I spent two days with them in  Chicago
55,"    Her husband, among various physical accomplishments, had been one of  the most powerful ends that ever played football at New Haven—a  national figure in a way, one of those men who reach such an acute  limited excellence at twenty-one that everything afterward savours of  anticlimax"
56," His family were enormously wealthy—even in college his  freedom with money was a matter for reproach—but now he’d left Chicago  and come East in a fashion that rather took your breath away: for  instance, he’d brought down a string of polo ponies from Lake  Forest"
57, It was hard to realize that a man in my own generation was  wealthy enough to do that
58,    Why they came East I don’t know
59," They had spent a year in France for  no particular reason, and then drifted here and there unrestfully  wherever people played polo and were rich together"
60," This was a  permanent move, said Daisy over the telephone, but I didn’t believe  it—I had no sight into Daisy’s heart, but I felt that Tom would drift  on forever seeking, a little wistfully, for the dramatic turbulence of  some irrecoverable football game"
61,    And so it happened that on a warm windy evening I drove over to East  Egg to see two old friends whom I scarcely knew at all
62," Their house  was even more elaborate than I expected, a cheerful red-and-white  Georgian Colonial mansion, overlooking the bay"
63," The lawn started at  the beach and ran towards the front door for a quarter of a mile,  jumping over sundials and brick walks and burning gardens—finally when  it reached the house drifting up the side in bright vines as though  from the momentum of its run"
64," The front was broken by a line of French  windows, glowing now with reflected gold and wide open to the warm  windy afternoon, and Tom Buchanan in riding clothes was standing with  his legs apart on the front porch"
65,    He had changed since his New Haven years
66," Now he was a sturdy  straw-haired man of thirty, with a rather hard mouth and a  supercilious manner"
67, Two shining arrogant eyes had established  dominance over his face and gave him the appearance of always leaning  aggressively forward
68," Not even the effeminate swank of his riding  clothes could hide the enormous power of that body—he seemed to fill  those glistening boots until he strained the top lacing, and you could  see a great pack of muscle shifting when his shoulder moved under his  thin coat"
69, It was a body capable of enormous leverage—a cruel body
70,"    His speaking voice, a gruff husky tenor, added to the impression of  fractiousness he conveyed"
71," There was a touch of paternal contempt in  it, even toward people he liked—and there were men at New Haven who  had hated his guts"
72,"    “Now, don’t think my opinion on these matters is final,” he seemed to  say, “just because I’m stronger and more of a man than you are"
73,"” We  were in the same senior society, and while we were never intimate I  always had the impression that he approved of me and wanted me to like  him with some harsh, defiant wistfulness of his own"
74,    We talked for a few minutes on the sunny porch
75,"    “I’ve got a nice place here,” he said, his eyes flashing about  restlessly"
76,"    Turning me around by one arm, he moved a broad flat hand along the  front vista, including in its sweep a sunken Italian garden, a half  acre of deep, pungent roses, and a snub-nosed motorboat that bumped  the tide offshore"
77,"    “It belonged to Demaine, the oil man"
78,"” He turned me around again,  politely and abruptly"
79, “We’ll go inside
80,"”    We walked through a high hallway into a bright rosy-coloured space,  fragilely bound into the house by French windows at either end"
81, The  windows were ajar and gleaming white against the fresh grass outside  that seemed to grow a little way into the house
82," A breeze blew through  the room, blew curtains in at one end and out the other like pale  flags, twisting them up toward the frosted wedding-cake of the  ceiling, and then rippled over the wine-coloured rug, making a shadow  on it as wind does on the sea"
83,    The only completely stationary object in the room was an enormous  couch on which two young women were buoyed up as though upon an  anchored balloon
84," They were both in white, and their dresses were  rippling and fluttering as if they had just been blown back in after a  short flight around the house"
85, I must have stood for a few moments  listening to the whip and snap of the curtains and the groan of a  picture on the wall
86," Then there was a boom as Tom Buchanan shut the  rear windows and the caught wind died out about the room, and the  curtains and the rugs and the two young women ballooned slowly to the  floor"
87,    The younger of the two was a stranger to me
88," She was extended full  length at her end of the divan, completely motionless, and with her  chin raised a little, as if she were balancing something on it which  was quite likely to fall"
89," If she saw me out of the corner of her eyes  she gave no hint of it—indeed, I was almost surprised into murmuring  an apology for having disturbed her by coming in"
90,"    The other girl, Daisy, made an attempt to rise—she leaned slightly  forward with a conscientious expression—then she laughed, an absurd,  charming little laugh, and I laughed too and came forward into the  room"
91,    “I’m p-paralysed with happiness
92,"”    She laughed again, as if she said something very witty, and held my  hand for a moment, looking up into my face, promising that there was  no one in the world she so much wanted to see"
93, That was a way she  had
94, She hinted in a murmur that the surname of the balancing girl was  Baker
95, (I’ve heard it said that Daisy’s murmur was only to make people  lean toward her; an irrelevant criticism that made it no less  charming
96,")    At any rate, Miss Baker’s lips fluttered, she nodded at me almost  imperceptibly, and then quickly tipped her head back again—the object  she was balancing had obviously tottered a little and given her  something of a fright"
97, Again a sort of apology arose to my lips
98,  Almost any exhibition of complete self-sufficiency draws a stunned  tribute from me
99,"    I looked back at my cousin, who began to ask me questions in her low,  thrilling voice"
100," It was the kind of voice that the ear follows up and  down, as if each speech is an arrangement of notes that will never be  played again"
101," Her face was sad and lovely with bright things in it,  bright eyes and a bright passionate mouth, but there was an excitement  in her voice that men who had cared for her found difficult to forget:  a singing compulsion, a whispered “Listen,” a promise that she had  done gay, exciting things just a while since and that there were gay,  exciting things hovering in the next hour"
102,"    I told her how I had stopped off in Chicago for a day on my way East,  and how a dozen people had sent their love through me"
103,    “Do they miss me
104,” she cried ecstatically
105,    “The whole town is desolate
106," All the cars have the left rear wheel  painted black as a mourning wreath, and there’s a persistent wail all  night along the north shore"
107,”    “How gorgeous
108," Let’s go back, Tom"
109, Tomorrow
110,” Then she added  irrelevantly: “You ought to see the baby
111,”    “I’d like to
112,”    “She’s asleep
113, She’s three years old
114, Haven’t you ever seen her
115,”    “Never
116,"”    “Well, you ought to see her"
117," She’s—”    Tom Buchanan, who had been hovering restlessly about the room, stopped  and rested his hand on my shoulder"
118,"    “What you doing, Nick"
119,”    “I’m a bond man
120,”    “Who with
121,”    I told him
122,"    “Never heard of them,” he remarked decisively"
123,    This annoyed me
124,"    “You will,” I answered shortly"
125, “You will if you stay in the East
126,"”    “Oh, I’ll stay in the East, don’t you worry,” he said, glancing at  Daisy and then back at me, as if he were alert for something  more"
127, “I’d be a God damned fool to live anywhere else
128,”    At this point Miss Baker said: “Absolutely
129,” with such suddenness that  I started—it was the first word she had uttered since I came into the  room
130," Evidently it surprised her as much as it did me, for she yawned  and with a series of rapid, deft movements stood up into the room"
131,"    “I’m stiff,” she complained, “I’ve been lying on that sofa for as long  as I can remember"
132,"”    “Don’t look at me,” Daisy retorted, “I’ve been trying to get you to  New York all afternoon"
133,"”    “No, thanks,” said Miss Baker to the four cocktails just in from the  pantry"
134, “I’m absolutely in training
135,”    Her host looked at her incredulously
136,    “You are
137,” He took down his drink as if it were a drop in the bottom  of a glass
138, “How you ever get anything done is beyond me
139,"”    I looked at Miss Baker, wondering what it was she “got done"
140,” I  enjoyed looking at her
141," She was a slender, small-breasted girl, with  an erect carriage, which she accentuated by throwing her body backward  at the shoulders like a young cadet"
142," Her grey sun-strained eyes looked  back at me with polite reciprocal curiosity out of a wan, charming,  discontented face"
143," It occurred to me now that I had seen her, or a  picture of her, somewhere before"
144,"    “You live in West Egg,” she remarked contemptuously"
145, “I know somebody  there
146,”    “I don’t know a single—”    “You must know Gatsby
147,”    “Gatsby
148,” demanded Daisy
149, “What Gatsby
150,"”    Before I could reply that he was my neighbour dinner was announced;  wedging his tense arm imperatively under mine, Tom Buchanan compelled  me from the room as though he were moving a checker to another square"
151,"    Slenderly, languidly, their hands set lightly on their hips, the two  young women preceded us out on to a rosy-coloured porch, open toward  the sunset, where four candles flickered on the table in the  diminished wind"
152,    “Why candles
153,"” objected Daisy, frowning"
154, She snapped them out with her  fingers
155, “In two weeks it’ll be the longest day in the year
156,” She  looked at us all radiantly
157, “Do you always watch for the longest day  of the year and then miss it
158, I always watch for the longest day in  the year and then miss it
159,"”    “We ought to plan something,” yawned Miss Baker, sitting down at the  table as if she were getting into bed"
160,"    “All right,” said Daisy"
161, “What’ll we plan
162,” She turned to me  helplessly: “What do people plan
163,”    Before I could answer her eyes fastened with an awed expression on her  little finger
164,    “Look
165,” she complained; “I hurt it
166,”    We all looked—the knuckle was black and blue
167,"    “You did it, Tom,” she said accusingly"
168," “I know you didn’t mean to,  but you did do it"
169," That’s what I get for marrying a brute of a man, a  great, big, hulking physical specimen of a—”    “I hate that word ‘hulking,’ ” objected Tom crossly, “even in  kidding"
170,"”    “Hulking,” insisted Daisy"
171,"    Sometimes she and Miss Baker talked at once, unobtrusively and with a  bantering inconsequence that was never quite chatter, that was as cool  as their white dresses and their impersonal eyes in the absence of all  desire"
172," They were here, and they accepted Tom and me, making only a  polite pleasant effort to entertain or to be entertained"
173, They knew  that presently dinner would be over and a little later the evening too  would be over and casually put away
174," It was sharply different from the  West, where an evening was hurried from phase to phase towards its  close, in a continually disappointed anticipation or else in sheer  nervous dread of the moment itself"
175,"    “You make me feel uncivilized, Daisy,” I confessed on my second glass  of corky but rather impressive claret"
176, “Can’t you talk about crops or  something
177,"”    I meant nothing in particular by this remark, but it was taken up in  an unexpected way"
178,"    “Civilization’s going to pieces,” broke out Tom violently"
179, “I’ve  gotten to be a terrible pessimist about things
180, Have you read The Rise  of the Coloured Empires by this man Goddard
181,"”    “Why, no,” I answered, rather surprised by his tone"
182,"    “Well, it’s a fine book, and everybody ought to read it"
183, The idea is  if we don’t look out the white race will be—will be utterly  submerged
184, It’s all scientific stuff; it’s been proved
185,"”    “Tom’s getting very profound,” said Daisy, with an expression of  unthoughtful sadness"
186, “He reads deep books with long words in  them
187," What was that word we—”    “Well, these books are all scientific,” insisted Tom, glancing at her  impatiently"
188, “This fellow has worked out the whole thing
189," It’s up to  us, who are the dominant race, to watch out or these other races will  have control of things"
190,"”    “We’ve got to beat them down,” whispered Daisy, winking ferociously  toward the fervent sun"
191,"    “You ought to live in California—” began Miss Baker, but Tom  interrupted her by shifting heavily in his chair"
192,    “This idea is that we’re Nordics
193," I am, and you are, and you are,  and—” After an infinitesimal hesitation he included Daisy with a  slight nod, and she winked at me again"
194," “—And we’ve produced all the  things that go to make civilization—oh, science and art, and all  that"
195, Do you see
196,"”    There was something pathetic in his concentration, as if his  complacency, more acute than of old, was not enough to him any more"
197,"  When, almost immediately, the telephone rang inside and the butler  left the porch Daisy seized upon the momentary interruption and leaned  towards me"
198,"    “I’ll tell you a family secret,” she whispered enthusiastically"
199,  “It’s about the butler’s nose
200, Do you want to hear about the butler’s  nose
201,”    “That’s why I came over tonight
202,"”    “Well, he wasn’t always a butler; he used to be the silver polisher  for some people in New York that had a silver service for two hundred  people"
203," He had to polish it from morning till night, until finally it  began to affect his nose—”    “Things went from bad to worse,” suggested Miss Baker"
204,    “Yes
205," Things went from bad to worse, until finally he had to give up  his position"
206,"”    For a moment the last sunshine fell with romantic affection upon her  glowing face; her voice compelled me forward breathlessly as I  listened—then the glow faded, each light deserting her with lingering  regret, like children leaving a pleasant street at dusk"
207,"    The butler came back and murmured something close to Tom’s ear,  whereupon Tom frowned, pushed back his chair, and without a word went  inside"
208," As if his absence quickened something within her, Daisy leaned  forward again, her voice glowing and singing"
209,"    “I love to see you at my table, Nick"
210," You remind me of a—of a rose, an  absolute rose"
211, Doesn’t he
212,” She turned to Miss Baker for confirmation:  “An absolute rose
213,”    This was untrue
214, I am not even faintly like a rose
215," She was only  extemporizing, but a stirring warmth flowed from her, as if her heart  was trying to come out to you concealed in one of those breathless,  thrilling words"
216, Then suddenly she threw her napkin on the table and  excused herself and went into the house
217,    Miss Baker and I exchanged a short glance consciously devoid of  meaning
218, I was about to speak when she sat up alertly and said “Sh
219,”  in a warning voice
220," A subdued impassioned murmur was audible in the  room beyond, and Miss Baker leaned forward unashamed, trying to  hear"
221," The murmur trembled on the verge of coherence, sank down,  mounted excitedly, and then ceased altogether"
222,    “This Mr
223, Gatsby you spoke of is my neighbour—” I began
224,    “Don’t talk
225, I want to hear what happens
226,”    “Is something happening
227,” I inquired innocently
228,    “You mean to say you don’t know
229,"” said Miss Baker, honestly surprised"
230,  “I thought everybody knew
231,”    “I don’t
232,”    “Why—” she said hesitantly
233, “Tom’s got some woman in New York
234,”    “Got some woman
235,” I repeated blankly
236,    Miss Baker nodded
237,    “She might have the decency not to telephone him at dinner time
238,  Don’t you think
239,"”    Almost before I had grasped her meaning there was the flutter of a  dress and the crunch of leather boots, and Tom and Daisy were back at  the table"
240,    “It couldn’t be helped
241,” cried Daisy with tense gaiety
242,"    She sat down, glanced searchingly at Miss Baker and then at me, and  continued: “I looked outdoors for a minute, and it’s very romantic  outdoors"
243, There’s a bird on the lawn that I think must be a  nightingale come over on the Cunard or White Star Line
244," He’s singing  away—” Her voice sang: “It’s romantic, isn’t it, Tom"
245,"”    “Very romantic,” he said, and then miserably to me: “If it’s light  enough after dinner, I want to take you down to the stables"
246,"”    The telephone rang inside, startlingly, and as Daisy shook her head  decisively at Tom the subject of the stables, in fact all subjects,  vanished into air"
247," Among the broken fragments of the last five minutes  at table I remember the candles being lit again, pointlessly, and I  was conscious of wanting to look squarely at everyone, and yet to  avoid all eyes"
248," I couldn’t guess what Daisy and Tom were thinking, but  I doubt if even Miss Baker, who seemed to have mastered a certain  hardy scepticism, was able utterly to put this fifth guest’s shrill  metallic urgency out of mind"
249, To a certain temperament the situation  might have seemed intriguing—my own instinct was to telephone  immediately for the police
250,"    The horses, needless to say, were not mentioned again"
251," Tom and Miss  Baker, with several feet of twilight between them, strolled back into  the library, as if to a vigil beside a perfectly tangible body, while,  trying to look pleasantly interested and a little deaf, I followed  Daisy around a chain of connecting verandas to the porch in front"
252, In  its deep gloom we sat down side by side on a wicker settee
253,"    Daisy took her face in her hands as if feeling its lovely shape, and  her eyes moved gradually out into the velvet dusk"
254," I saw that  turbulent emotions possessed her, so I asked what I thought would be  some sedative questions about her little girl"
255,"    “We don’t know each other very well, Nick,” she said suddenly"
256, “Even  if we are cousins
257, You didn’t come to my wedding
258,”    “I wasn’t back from the war
259,”    “That’s true
260,” She hesitated
261," “Well, I’ve had a very bad time, Nick,  and I’m pretty cynical about everything"
262,”    Evidently she had reason to be
263," I waited but she didn’t say any more,  and after a moment I returned rather feebly to the subject of her  daughter"
264,"    “I suppose she talks, and—eats, and everything"
265,"”    “Oh, yes"
266,” She looked at me absently
267," “Listen, Nick; let me tell you  what I said when she was born"
268, Would you like to hear
269,”    “Very much
270,”    “It’ll show you how I’ve gotten to feel about—things
271," Well, she was  less than an hour old and Tom was God knows where"
272," I woke up out of  the ether with an utterly abandoned feeling, and asked the nurse right  away if it was a boy or a girl"
273," She told me it was a girl, and so I  turned my head away and wept"
274," ‘All right,’ I said, ‘I’m glad it’s a  girl"
275," And I hope she’ll be a fool—that’s the best thing a girl can be  in this world, a beautiful little fool"
276,"’    “You see I think everything’s terrible anyhow,” she went on in a  convinced way"
277, “Everybody thinks so—the most advanced people
278, And I  know
279, I’ve been everywhere and seen everything and done everything
280,"”  Her eyes flashed around her in a defiant way, rather like Tom’s, and  she laughed with thrilling scorn"
281," “Sophisticated—God, I’m  sophisticated"
282,"”    The instant her voice broke off, ceasing to compel my attention, my  belief, I felt the basic insincerity of what she had said"
283," It made me  uneasy, as though the whole evening had been a trick of some sort to  exact a contributory emotion from me"
284," I waited, and sure enough, in a  moment she looked at me with an absolute smirk on her lovely face, as  if she had asserted her membership in a rather distinguished secret  society to which she and Tom belonged"
285,"    ------------------------------------------------------------------------    Inside, the crimson room bloomed with light"
286," Tom and Miss Baker sat at  either end of the long couch and she read aloud to him from the  Saturday Evening Post—the words, murmurous and uninflected, running  together in a soothing tune"
287," The lamplight, bright on his boots and  dull on the autumn-leaf yellow of her hair, glinted along the paper as  she turned a page with a flutter of slender muscles in her arms"
288,    When we came in she held us silent for a moment with a lifted hand
289,"    “To be continued,” she said, tossing the magazine on the table, “in  our very next issue"
290,"”    Her body asserted itself with a restless movement of her knee, and she  stood up"
291,"    “Ten o’clock,” she remarked, apparently finding the time on the  ceiling"
292, “Time for this good girl to go to bed
293,"”    “Jordan’s going to play in the tournament tomorrow,” explained Daisy,  “over at Westchester"
294,”    “Oh—you’re Jordan Baker
295,”    I knew now why her face was familiar—its pleasing contemptuous  expression had looked out at me from many rotogravure pictures of the  sporting life at Asheville and Hot Springs and Palm Beach
296," I had heard  some story of her too, a critical, unpleasant story, but what it was I  had forgotten long ago"
297,"    “Good night,” she said softly"
298," “Wake me at eight, won’t you"
299,”    “If you’ll get up
300,”    “I will
301," Good night, Mr"
302, Carraway
303, See you anon
304,"”    “Of course you will,” confirmed Daisy"
305, “In fact I think I’ll arrange a  marriage
306," Come over often, Nick, and I’ll sort of—oh—fling you  together"
307," You know—lock you up accidentally in linen closets and push  you out to sea in a boat, and all that sort of thing—”    “Good night,” called Miss Baker from the stairs"
308, “I haven’t heard a  word
309,"”    “She’s a nice girl,” said Tom after a moment"
310, “They oughtn’t to let  her run around the country this way
311,”    “Who oughtn’t to
312,” inquired Daisy coldly
313,    “Her family
314,”    “Her family is one aunt about a thousand years old
315," Besides, Nick’s  going to look after her, aren’t you, Nick"
316, She’s going to spend lots  of weekends out here this summer
317, I think the home influence will be  very good for her
318,”    Daisy and Tom looked at each other for a moment in silence
319,    “Is she from New York
320,” I asked quickly
321,    “From Louisville
322, Our white girlhood was passed together there
323, Our  beautiful white—”    “Did you give Nick a little heart to heart talk on the veranda
324,”  demanded Tom suddenly
325,    “Did I
326,” She looked at me
327," “I can’t seem to remember, but I think we  talked about the Nordic race"
328," Yes, I’m sure we did"
329," It sort of crept  up on us and first thing you know—”    “Don’t believe everything you hear, Nick,” he advised me"
330,"    I said lightly that I had heard nothing at all, and a few minutes  later I got up to go home"
331, They came to the door with me and stood  side by side in a cheerful square of light
332, As I started my motor  Daisy peremptorily called: “Wait
333,"”    “I forgot to ask you something, and it’s important"
334, We heard you were  engaged to a girl out West
335,"”    “That’s right,” corroborated Tom kindly"
336, “We heard that you were  engaged
337,”    “It’s a libel
338, I’m too poor
339,"”    “But we heard it,” insisted Daisy, surprising me by opening up again  in a flower-like way"
340," “We heard it from three people, so it must be  true"
341,"”    Of course I knew what they were referring to, but I wasn’t even  vaguely engaged"
342, The fact that gossip had published the banns was one  of the reasons I had come East
343," You can’t stop going with an old  friend on account of rumours, and on the other hand I had no intention  of being rumoured into marriage"
344,"    Their interest rather touched me and made them less remotely  rich—nevertheless, I was confused and a little disgusted as I drove  away"
345," It seemed to me that the thing for Daisy to do was to rush out  of the house, child in arms—but apparently there were no such  intentions in her head"
346," As for Tom, the fact that he “had some woman  in New York” was really less surprising than that he had been  depressed by a book"
347, Something was making him nibble at the edge of  stale ideas as if his sturdy physical egotism no longer nourished his  peremptory heart
348,"    Already it was deep summer on roadhouse roofs and in front of wayside  garages, where new red petrol-pumps sat out in pools of light, and  when I reached my estate at West Egg I ran the car under its shed and  sat for a while on an abandoned grass roller in the yard"
349," The wind had  blown off, leaving a loud, bright night, with wings beating in the  trees and a persistent organ sound as the full bellows of the earth  blew the frogs full of life"
350," The silhouette of a moving cat wavered  across the moonlight, and, turning my head to watch it, I saw that I  was not alone—fifty feet away a figure had emerged from the shadow of  my neighbour’s mansion and was standing with his hands in his pockets  regarding the silver pepper of the stars"
351, Something in his leisurely  movements and the secure position of his feet upon the lawn suggested  that it was Mr
352," Gatsby himself, come out to determine what share was  his of our local heavens"
353,    I decided to call to him
354," Miss Baker had mentioned him at dinner, and  that would do for an introduction"
355," But I didn’t call to him, for he  gave a sudden intimation that he was content to be alone—he stretched  out his arms toward the dark water in a curious way, and, far as I was  from him, I could have sworn he was trembling"
356," Involuntarily I glanced  seaward—and distinguished nothing except a single green light, minute  and far away, that might have been the end of a dock"
357," When I looked  once more for Gatsby he had vanished, and I was alone again in the  unquiet darkness"
358,"                                        II    About halfway between West Egg and New York the motor road hastily  joins the railroad and runs beside it for a quarter of a mile, so as  to shrink away from a certain desolate area of land"
359," This is a valley  of ashes—a fantastic farm where ashes grow like wheat into ridges and  hills and grotesque gardens; where ashes take the forms of houses and  chimneys and rising smoke and, finally, with a transcendent effort, of  ash-grey men, who move dimly and already crumbling through the powdery  air"
360," Occasionally a line of grey cars crawls along an invisible track,  gives out a ghastly creak, and comes to rest, and immediately the  ash-grey men swarm up with leaden spades and stir up an impenetrable  cloud, which screens their obscure operations from your sight"
361,"    But above the grey land and the spasms of bleak dust which drift  endlessly over it, you perceive, after a moment, the eyes of Doctor T"
362,  J
363, Eckleburg
364, The eyes of Doctor T
365, J
366, Eckleburg are blue and  gigantic—their retinas are one yard high
367," They look out of no face,  but, instead, from a pair of enormous yellow spectacles which pass  over a nonexistent nose"
368," Evidently some wild wag of an oculist set  them there to fatten his practice in the borough of Queens, and then  sank down himself into eternal blindness, or forgot them and moved  away"
369," But his eyes, dimmed a little by many paintless days, under sun  and rain, brood on over the solemn dumping ground"
370,"    The valley of ashes is bounded on one side by a small foul river, and,  when the drawbridge is up to let barges through, the passengers on  waiting trains can stare at the dismal scene for as long as half an  hour"
371," There is always a halt there of at least a minute, and it was  because of this that I first met Tom Buchanan’s mistress"
372,    The fact that he had one was insisted upon wherever he was known
373," His  acquaintances resented the fact that he turned up in popular cafés  with her and, leaving her at a table, sauntered about, chatting with  whomsoever he knew"
374," Though I was curious to see her, I had no desire  to meet her—but I did"
375," I went up to New York with Tom on the train one  afternoon, and when we stopped by the ash-heaps he jumped to his feet  and, taking hold of my elbow, literally forced me from the car"
376,"    “We’re getting off,” he insisted"
377, “I want you to meet my girl
378,"”    I think he’d tanked up a good deal at luncheon, and his determination  to have my company bordered on violence"
379, The supercilious assumption  was that on Sunday afternoon I had nothing better to do
380,"    I followed him over a low whitewashed railroad fence, and we walked  back a hundred yards along the road under Doctor Eckleburg’s  persistent stare"
381," The only building in sight was a small block of  yellow brick sitting on the edge of the waste land, a sort of compact  Main Street ministering to it, and contiguous to absolutely nothing"
382,"  One of the three shops it contained was for rent and another was an  all-night restaurant, approached by a trail of ashes; the third was a  garage—Repairs"
383, George B
384, Wilson
385, Cars bought and sold
386,—and I followed  Tom inside
387,    The interior was unprosperous and bare; the only car visible was the  dust-covered wreck of a Ford which crouched in a dim corner
388," It had  occurred to me that this shadow of a garage must be a blind, and that  sumptuous and romantic apartments were concealed overhead, when the  proprietor himself appeared in the door of an office, wiping his hands  on a piece of waste"
389," He was a blond, spiritless man, anaemic, and  faintly handsome"
390, When he saw us a damp gleam of hope sprang into his  light blue eyes
391,"    “Hello, Wilson, old man,” said Tom, slapping him jovially on the  shoulder"
392, “How’s business
